name,year,rating,actors
The Wizard of Oz,1939,8.0,"Victor Fleming (dir.), Judy Garland, Frank Morgan"
Munna Bhai M.B.B.S.,2003,8.0,"Rajkumar Hirani (dir.), Sunil Dutt, Sanjay Dutt"
Groundhog Day,1993,8.0,"Harold Ramis (dir.), Bill Murray, Andie MacDowell"
La Haine,1995,8.0,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
8½,1963,8.0,"Federico Fellini (dir.), Marcello Mastroianni, Anouk Aimée"
Jaws,1975,8.0,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw"
The Best Years of Our Lives,1946,8.0,"William Wyler (dir.), Fredric March, Dana Andrews"
Twelve Monkeys,1995,8.0,"Terry Gilliam (dir.), Bruce Willis, Madeleine Stowe"
Infernal Affairs,2002,8.0,"Wai-Keung Lau (dir.), Andy Lau, Tony Chiu-Wai Leung"
The Help,2011,8.0,"Tate Taylor (dir.), Emma Stone, Viola Davis"
In the Mood for Love,2000,8.0,"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung"
"Paris, Texas",1984,8.0,"Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski"
Ah-ga-ssi,2016,8.0,"Chan-wook Park (dir.), Min-hee Kim, Jung-woo Ha"
Beauty and the Beast,1991,8.0,"Gary Trousdale (dir.), Paige O'Hara, Robby Benson"
Dead Poets Society,1989,8.0,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
The Battle of Algiers,1966,8.0,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush"
Dog Day Afternoon,1975,8.0,"Sidney Lumet (dir.), Al Pacino, John Cazale"
PK,2014,8.0,"Rajkumar Hirani (dir.), Aamir Khan, Anushka Sharma"
